"Kód organizační jednotky";"Název OJ";"Název nadřízené OJ";"Název úrovně OJ";"Platnost od";"Platnost do";"Kód organizace alias";"Středisko";"Měna";"Zakázka";"Majetek";"Projekt";"Rozpocet";"Osoba";"Sharing"
"ACCOUNTING";"ACCOUNTING";"ALLFIN";30;1.7.2009;31.12.9999;;1420;;;;;;;
"ALLB2C";"B2C";"LMCBUSS";20;1.7.2009;31.12.9999;;2200;;;;;;;
"ALLEG";"EMPLOYEE GUIDANCE";"LMCALL";15;1.7.2009;31.12.9999;;1500;;;;;;;
"ALLFIN";"FINANCE";"LMCOPS";20;1.7.2009;31.12.9999;;1400;;;;;;;
"ALLG2";"G2";"LMCBUSS";20;1.7.2009;31.12.9999;;2300;;;;;;;
"ALLIT";"IT";"LMCOPS";20;1.7.2009;31.12.9999;;4100;;;;;;;
"ALLONREA";"ONREA";"LMCBUSS";20;1.7.2009;31.12.9999;;2100;;;;;;;
"ALLSCOM";"MARCOM";"LMCOPS";20;1.7.2009;31.12.9999;;4300;;;;;;;
"ALLSK";"SLOVENSKO";"LMCBUSS";20;1.7.2009;31.12.9999;;5100;;;;;;;
"BILLING";"BILLING AND COLLECTIONS";"ALLFIN";30;1.7.2009;31.12.9999;;1440;;;;;;;
"B2CCOM";"B2C COMMUNICATION";"ALLB2C";30;1.7.2009;31.12.9999;;2220;;;;;;;
"B2CPM";"B2C PRODUCT";"ALLB2C";30;1.7.2009;31.12.9999;;2210;;;;;;;
"COM PR";"CORPORATE COMMUNICATION";"ALLSCOM";30;1.7.2009;31.12.9999;;4310;;;;;;;
"CONTROLLIN";"CONTROLLING";"ALLFIN";30;1.7.2009;31.12.9999;;1410;;;;;;;
"CREATIVE";"DESIGN CREATIVE";"ALLSCOM";30;1.7.2009;31.12.9999;;4320;;;;;;;
"EGOFFICE";"EMPLOYEE GUIDANCE OFFICE";"ALLEG";20;1.7.2009;31.12.9999;;1520;;;;;;;
"EGOFFPURCH";"PURCHASING";"EGOFFICE";30;1.8.2009;31.12.9999;;1430;;;;;;;
"EGPEOPLE";"EMPLOYEE GUIDANCE PEOPLE";"ALLEG";20;1.7.2009;31.12.9999;;1510;;;;;;;
"G2DEV";"G2 DEVELOPMENT";"ALLIT";30;1.7.2009;31.12.9999;;4190;;;;;;;
"G2INT";"INTERNATIONAL BUSINESS DEVELOPMENT";"ALLG2";30;2.8.2010;31.12.9999;;2340;;;;;;;
"G2PMCOM";"PRODUCT AND COMMUNICATION";"ALLG2";30;1.7.2009;31.12.9999;;2310;;;;;;;
"G2SALES";"BUSINESS DEVELOPMENT CR";"ALLG2";30;1.7.2009;31.12.9999;;2320;;;;;;;
"IISD";"IIS DEVELOPMENT";"ITSWDEV";40;2.7.2009;31.12.9999;;4151;;;;;;;
"ITANALYST";"IT ANALYSES";"ALLIT";30;1.8.2009;31.12.9999;;4160;;;;;;;
"ITOPER";"IT OPERATIONS";"ALLIT";30;1.8.2009;31.12.9999;;4140;;;;;;;
"ITOPERHDSU";"APPLICATION SUPPORT & HELP DESK";"ITOPER";40;1.8.2009;31.12.9999;;4141;;;;;;;
"ITOPERSA";"SYSTEM ADMINISTRATION";"ITOPER";40;1.8.2009;31.12.9999;;4142;;;;;;;
"ITQA";"QA";"ALLIT";30;1.7.2009;31.12.9999;;4170;;;;;;;
"ITSWDEV";"IT Architecture & Development";"ALLIT";30;1.7.2009;31.12.9999;;4150;;;;;;;
"ITSWDJAVA";"JAVA";"ITSWDEV";40;2.8.2009;31.12.9999;;4154;;;;;;;
"ITSWDPHPI";"PHPINT";"ITSWDEV";40;2.8.2009;31.12.9999;;4153;;;;;;;
"ITSWDPHPV";"PHPVPV";"ITSWDEV";40;2.8.2009;31.12.9999;;4152;;;;;;;
"LMCALL";"LMC CZ";"*";10;30.6.2009;31.12.9999;;1000;;;;;;;
"LMCBUSS";"BUSINESS";"LMCALL";15;1.7.2009;31.12.9999;;2000;;;;;;;
"LMCOPS";"OPERATIONS";"LMCALL";15;1.7.2009;31.12.9999;;4000;;;;;;;
"MARCOM";"MARKETING & INTERNAL COMMUNICATION";"ALLSCOM";30;1.8.2009;31.12.9999;;4330;;;;;;;
"ONREABO";"BO";"ONREAPOST";40;2.7.2009;31.12.9999;;2141;;;;;;;
"ONREAHRM";"HR MARKETING";"ONREAKAMIN";40;1.8.2009;31.12.9999;;2124;;;;;;;
"ONREAINTL";"INTERNATIONAL";"ONREAKAMIN";40;2.7.2009;31.12.9999;;2123;;;;;;;
"ONREAKAMIN";"KAM/INTL";"ALLONREA";30;1.7.2009;31.12.9999;;2120;;;;;;;
"ONREAKAM1";"KAM 1";"ONREAKAMIN";40;2.7.2009;31.12.9999;;2122;;;;;;;
"ONREAKAM2";"KAM 2";"ONREAKAMIN";40;2.7.2009;31.12.9999;;2121;;;;;;;
"ONREAMCOM";"COMMUNICATION/MARKETING";"ALLONREA";30;1.3.2010;31.12.9999;;2112;;;;;;;
"ONREAPD";"PRODUCT DEVELOPMENT";"ALLONREA";30;1.3.2010;31.12.9999;;2111;;;;;;;
"ONREAPOST";"POSTSALES";"ALLONREA";30;1.7.2009;31.12.9999;;2140;;;;;;;
"ONREASME";"SME";"ALLONREA";30;1.7.2009;31.12.9999;;2130;;;;;;;
"ONREATLS";"TELESALES";"ONREASME";40;2.7.2009;31.12.9999;;2135;;;;;;;
"ONREAXSLT";"ONREA DESIGN";"ONREAPOST";40;2.7.2009;31.12.9999;;2142;;;;;;;
"SLRPCECHY";"ČECHY";"ONREASME";40;2.7.2009;31.12.9999;;2131;;;;;;;
"SLRPMORAVA";"MORAVA";"ONREASME";40;2.7.2009;31.12.9999;;2132;;;;;;;
"SLRPPRAHA1";"PRAHA";"ONREASME";40;2.7.2009;31.12.9999;;2133;;;;;;;
"TRAFFIC";"TRAFFIC BUYING";"ALLB2C";30;1.7.2009;31.12.9999;;2230;;;;;;;
